#,Company,Symbol,Weight,Price,Change
196,General Mills Inc.,GIS,0.117700,   46.14,-0.45 (-0.96%)
197,Southwest Airlines Co.,LUV,0.117368,   54.12,0.50 (0.93%)
198,Halliburton Company,HAL,0.116927,   31.82,0.50 (1.58%)
199,State Street Corporation,STT,0.116555,   72.92,0.52 (0.72%)
200,Equity Residential,EQR,0.115908,   73.75,-0.48 (-0.65%)
201,AvalonBay Communities Inc.,AVB,0.114900,   194.99,-1.05 (-0.54%)
202,PPG Industries Inc.,PPG,0.114426,   112.36,0.92 (0.82%)
203,Centene Corporation,CNC,0.111403,   64.09,0.08 (0.12%)
204,McKesson Corporation,MCK,0.111392,   131.20,-0.29 (-0.22%)
205,Ingersoll-Rand Plc,IR,0.110614,   107.36,1.03 (0.97%)
206,Consolidated Edison Inc.,ED,0.108285,   81.57,-0.53 (-0.65%)
207,Hilton Worldwide Holdings Inc,HLT,0.107647,   84.58,-0.45 (-0.53%)
208,Zimmer Biomet Holdings Inc.,ZBH,0.107353,   123.97,-0.47 (-0.38%)
209,Agilent Technologies Inc.,A,0.105587,   79.62,1.20 (1.53%)
210,M&T Bank Corporation,MTB,0.105207,   173.58,1.11 (0.64%)
211,Twenty-First Century Fox Inc. Class B,FOX,0.105121,   50.49,-0.35 (-0.68%)
212,Discover Financial Services,DFS,0.103941,   71.85,0.39 (0.54%)
213,PACCAR Inc,PCAR,0.103722,   69.79,-0.10 (-0.14%)
214,Digital Realty Trust Inc.,DLR,0.103513,   117.92,-0.57 (-0.48%)
215,Paychex Inc.,PAYX,0.103010,   75.94,0.05 (0.07%)
216,Pioneer Natural Resources Company,PXD,0.102189,   141.35,-0.78 (-0.55%)
217,Fortive Corp.,FTV,0.102113,   81.36,-0.01 (-0.01%)
218,WEC Energy Group Inc,WEC,0.101998,   75.96,-0.68 (-0.89%)
219,Archer-Daniels-Midland Company,ADM,0.101247,   42.64,0.15 (0.35%)
220,T. Rowe Price Group,TROW,0.100851,   99.03,0.98 (1.00%)
221,Carnival Corporation,CCL,0.100773,   58.74,-0.08 (-0.14%)
222,Hewlett Packard Enterprise Co.,HPE,0.099135,   16.89,0.57 (3.46%)
223,Cummins Inc.,CMI,0.099114,   156.82,1.38 (0.89%)
224,Monster Beverage Corporation,MNST,0.098578,   58.43,-0.01 (-0.02%)
