#,Company,Symbol,Weight,Price,Change
453,SL Green Realty Corp.,SLG,0.033839,   91.43,-0.91 (-0.99%)
454,Western Union Company,WU,0.033793,   17.78,-0.06 (-0.31%)
455,Arconic Inc.,ARNC,0.033332,   18.33,0.05 (0.27%)
456,Invesco Ltd.,IVZ,0.033003,   19.21,0.16 (0.83%)
457,A. O. Smith Corporation,AOS,0.032492,   53.88,0.70 (1.32%)
458,Alaska Air Group Inc.,ALK,0.032448,   62.79,0.39 (0.62%)
459,Apartment Investment and Management Company Class A,AIV,0.032164,   49.34,-0.59 (-1.18%)
460,Kimco Realty Corporation,KIM,0.031786,   17.71,-0.02 (-0.11%)
461,DISH Network Corporation Class A,DISH,0.031691,   32.51,-0.31 (-0.94%)
462,DaVita Inc.,DVA,0.031563,   58.48,-0.22 (-0.37%)
463,Newell Brands Inc,NWL,0.031443,   17.18,0.12 (0.67%)
464,Macy's Inc,M,0.031078,   24.68,0.62 (2.58%)
465,PulteGroup Inc.,PHM,0.030982,   27.90,-0.08 (-0.29%)
466,FLIR Systems Inc.,FLIR,0.030435,   52.92,0.32 (0.61%)
467,Ralph Lauren Corporation Class A,RL,0.030368,   127.94,0.82 (0.65%)
468,Pentair plc,PNR,0.029962,   43.47,0.42 (0.96%)
469,Hanesbrands Inc.,HBI,0.029881,   19.14,0.01 (0.05%)
470,Cimarex Energy Co.,XEC,0.029842,   74.00,-0.18 (-0.24%)
471,Xerox Corporation,XRX,0.029686,   31.60,0.11 (0.35%)
472,Foot Locker Inc.,FL,0.029538,   60.20,0.56 (0.94%)
473,Fortune Brands Home & Security Inc.,FBHS,0.029329,   49.09,0.44 (0.89%)
474,Nektar Therapeutics,NKTR,0.029307,   40.72,0.67 (1.67%)
475,Sealed Air Corporation,SEE,0.029252,   43.92,0.47 (1.08%)
476,People's United Financial Inc.,PBCT,0.027938,   17.84,0.15 (0.85%)
477,Capri Holdings Limited,CPRI,0.027712,   45.10,1.26 (2.87%)
478,Campbell Soup Company,CPB,0.026475,   32.53,-0.30 (-0.91%)
479,L Brands Inc.,LB,0.026185,   27.74,0.68 (2.51%)
480,Harley-Davidson Inc.,HOG,0.026180,   37.77,0.66 (1.78%)
481,Perrigo Co. Plc,PRGO,0.026081,   49.58,0.64 (1.31%)
482,Flowserve Corporation,FLS,0.025685,   46.81,0.25 (0.54%)
483,Leggett & Platt Incorporated,LEG,0.025586,   46.20,0.32 (0.70%)
484,Helmerich & Payne Inc.,HP,0.025258,   54.69,-0.33 (-0.60%)
485,Jefferies Financial Group Inc.,JEF,0.024874,   20.44,0.20 (0.99%)
486,Affiliated Managers Group Inc.,AMG,0.024722,   111.35,2.22 (2.03%)
487,Rollins Inc.,ROL,0.024694,   39.51,0.08 (0.19%)
488,IPG Photonics Corporation,IPGP,0.023875,   160.93,4.50 (2.88%)
489,TripAdvisor Inc.,TRIP,0.023819,   54.41,-0.53 (-0.96%)
490,Gap Inc.,GPS,0.022989,   25.18,0.42 (1.70%)
491,Quanta Services Inc.,PWR,0.022759,   36.50,0.02 (0.05%)
492,Fluor Corporation,FLR,0.022753,   38.16,-0.24 (-0.61%)
493,Assurant Inc.,AIZ,0.021994,   99.87,1.53 (1.56%)
494,Brighthouse Financial Inc.,BHF,0.021782,   43.75,0.67 (1.56%)
495,H&R Block Inc.,HRB,0.021666,   24.61,-0.47 (-1.87%)
496,Coty Inc. Class A,COTY,0.021500,   11.08,-0.20 (-1.73%)
497,Nordstrom Inc.,JWN,0.021387,   45.33,1.29 (2.93%)
498,News Corporation Class A,NWSA,0.020977,   13.09,0.11 (0.81%)
499,Mattel Inc.,MAT,0.020410,   14.12,0.05 (0.36%)
500,Macerich Company,MAC,0.019868,   43.87,0.11 (0.25%)
501,Goodyear Tire & Rubber Company,GT,0.019429,   20.12,0.77 (3.95%)
502,Discovery Inc. Class A,DISCA,0.019220,   29.37,0.16 (0.55%)
503,Under Armour Inc. Class A,UAA,0.017000,   21.97,0.29 (1.34%)
504,Under Armour Inc. Class C,UA,0.015607,   19.75,0.09 (0.46%)
505,News Corporation Class B,NWS,0.006387,   13.34,0.13 (0.98%)
